"user_id","work_id","mr_share"
"user_id","work_id","mr_share"
"user_id","work_id","mr_share"
"174","748","8.3300000000000001"
"186","749","40"
"133","750","100"
"186","750","50"
"36","753","50"
"142","754","50"
"345","755","25"
"256","756",""
"162","757","10"
"266","758","50"
"5","759","50"
"207","760","50"
"238","761","50"
"395","762","25"
"401","763","50"
"205","764","5"
"46","765","35"
"256","767",""
"192","768","25"
"174","769","13.300000000000001"
"75","770","50"
"","771","7"
"68","772",""
"163","773","50"
"192","774","50"
"68","774","50"
"68","776","25"
"156","777","30"
"68","778",""
"108","779","100"
"255","780","25"
"152","781","25"
"152","782","33.329999999999998"
"346","3925","50"
"108","784","100"
"22","785","33.329999999999998"
"36","786","20"
"186","787","33.329999999999998"
"271","788","50"
"186","789","50"
"223","790","50"
"271","792","50"
"106","793","33.329999999999998"
"90","794","50"
"112","795","50"
"5","795","25"
"90","797","25"
"192","798","50"
"186","799","50"
"124","799","100"
"271","801","50"
"75","802","25"
"23","803","50"
"383","804","15"
"19","805","100"
"119","806","100"
"177","807","50"
"231","808","50"
"355","809","25"
"63","810","50"
"271","811","100"
"68","812",""
"358","813","25"
"108","814","50"
"14","815","25"
"207","816","50"
"223","817","50"
"5","818","16.66"
"97","819","50"
"351","820","50"
"148","821","25"
"119","822","100"
"85","823","100"
"129","824","100"
"231","825","50"
"223","826","33.329999999999998"
"271","827","50"
"181","828","33.340000000000003"
"85","829","50"
"256","830",""
"93","831","50"
"163","832","100"
"276","833","100"
"336","834","25"
"207","836","50"
"23","837","100"
"148","838","25"
"186","839","50"
"97","840","50"
"23","841","100"
"162","842","20"
"","843",""
"145","844","50"
"167","845","50"
"46","846","12.5"
"266","847","45"
"114","848","50"
"46","849","26.66"
"","851",""
"90","852","50"
"26","853","50"
"14","854","50"
"385","855","50"
"186","855","5"
"114","857","50"
"14","858","50"
"186","859","50"
"383","860","15"
"271","861","50"
"416","862","100"
"223","863","50"
"271","864","33.329999999999998"
"416","865","20"
"411","866","25"
"401","867","100"
"322","868","50"
"152","869","20"
"325","870","33.329999999999998"
"142","871","50"
"276","872","50"
"186","873","33.340000000000003"
"97","874","20"
"106","875","25"
"5","876","25"
"262","877",""
"144","878","25"
"345","879","20"
"167","880","15"
"363","881","25"
"","882",""
"37","883","100"
"262","884",""
"85","885","50"
"174","886","10"
"14","887","50"
"217","888","50"
"336","889","50"
"401","890","50"
"416","891","33.299999999999997"
"349","892","25"
"48","893","25"
"280","894","25"
"381","895","25"
"401","896","50"
"416","897","50"
"23","898","50"
"266","899","13.5"
"108","900","100"
"354","901","16.699999999999999"
"393","902","3.7599999999999998"
"70","903","50"
"90","904","50"
"97","905","33.329999999999998"
"125","906","100"
"276","907",""
"75","908","25"
"409","909","20"
"124","910","43.75"
"345","911","25"
"407","912","100"
"182","913","50"
"22","914","50"
"242","915","50"
"68","916","25"
"182","917","33.329999999999998"
"217","918","50"
"353","919",""
"322","920","10"
"113","920","50"
"97","920","50"
"100","923","16.66"
"371","920","16.66"
"168","920","25"
"271","920","50"
"411","927","50"
"113","928","50"
"19","929","100"
"152","930","25"
"177","931","25"
"349","932","25"
"2","933","50"
"271","934","2"
"162","935","100"
"401","936","50"
"92","937","100"
"223","938","100"
"389","939","15"
"92","940","100"
"197","941","39"
"63","942","50"
"112","943","50"
"145","944","25"
"192","945","50"
"64","946","25"
"186","947","50"
"113","948","50"
"206","949","10"
"75","950",""
"276","951","50"
"271","952","11.66"
"365","953","5"
"256","954","20"
"345","955","25"
"416","956","25"
"113","957","50"
"271","958","33.340000000000003"
"407","959","50"
"92","960","100"
"48","961","25"
"85","962","50"
"145","963","50"
"48","964","25"
"351","965","25"
"22","966","50"
"192","967","50"
"271","967","25"
"152","970","33.329999999999998"
"186","971","100"
"308","972","50"
"262","973","65"
"152","974","10"
"197","975","50"
"401","976","50"
"114","977","100"
"293","978","16.66"
"401","979","50"
"323","980","33.329999999999998"
"46","981","11.75"
"276","982","33.329999999999998"
"168","983","50"
"205","984","25"
"271","985","50"
"186","986","75"
"197","987","33"
"5","988","50"
"399","989","50"
"366","990","40"
"68","991","25"
"113","992","50"
"271","993","14"
"75","994","50"
"75","995","25"
"186","996","50"
"256","997","10.414999999999999"
"419","998","25"
"174","999","9.5"
"114","999","100"
"255","1001","25"
"113","1002","50"
"5","1003","25"
"145","1004","50"
"276","1005","100"
"223","1006","100"
"97","1007","33.329999999999998"
"22","1008","50"
"395","1009","50"
"133","1010","100"
"90","1011","6.25"
"125","1012","100"
"276","1013","100"
"145","1014","50"
"68","1015","25"
"142","1016","25"
"301","1017","100"
"276","1018","100"
"","1019","50"
"186","1020","50"
"46","1021","25"
"343","1022","25"
"182","1023","33.329999999999998"
"399","1024","50"
"401","1024","50"
"255","1026","10"
"163","1027","50"
"256","1028",""
"399","1029","50"
"46","1030","12.5"
"399","1031","25"
"374","1032","12.5"
"326","1033","50"
"133","1034","100"
"152","1035","5"
"36","1036","20"
"182","1037","33.329999999999998"
"182","1038","33.329999999999998"
"345","1039","25"
"177","1040","7"
"374","1041","50"
"46","1042","45"
"90","1043","100"
"231","1044","50"
"186","1045","50"
"223","1046","50"
"100","","10"
"393","1048","20"
"374","1049","33.299999999999997"
"75","1050","50"
"383","1051","50"
"383","1052","15"
"319","1053","25"
"124","1054","50"
"371","1055","8"
"23","1056","12.5"
"142","1057","50"
"22","1058","33.329999999999998"
"119","1059","25"
"401","1060","20"
"148","1061","25"
"152","1062","33.329999999999998"
"152","1063","33.329999999999998"
"297","1064","16.670000000000002"
"63","1065","50"
"114","1066","50"
"108","1067","37.5"
"22","1068","50"
"142","1069","50"
"129","1070","100"
"152","1071","50"
"177","1072","10"
"69","1073","20"
"182","1074","50"
"385","1075","5"
"411","1076","50"
"262","1077","20"
"152","1078","25"
"271","1079","33.340000000000003"
"399","1080","33.329999999999998"
"401","1081","50"
"19","1082","8.5"
"577","1083","33.329999999999998"
"406","1084","10"
"319","1085","25"
"416","1086","50"
"271","1086","50"
"339","1088",""
"223","1089","50"
"390","1090","25"
"399","1091","100"
"215","1092","25"
"14","1093","50"
"85","1094","100"
"37","1095","50"
"186","1096","50"
